id,game,fullDate,team_name,week,winner,duration_min,total_kills,total_assists,total_deaths,total_gold,gold_min,total_damage,damage_min,red_buff,blue_buff,lord_kill,tortoise_kill,tower_destroy,sum_buffs,KDA,assists_taken,gold_w3,gold_w1,damage_w3,damage_w1,id_encode,game_encode,team_name_encode,fullDate_encode
https://ph-mpl.com/data/match/tnc-echo-20220226,game3,2022-02-26 16:00:00,ECHO,2,1,13.85,13,36,4,48163,3477,129586,9356,6,9,2,0,8,15,12.25,8,1720.11,316.86,4628.07,852.54,54,2,2,9
https://ph-mpl.com/data/match/tnc-echo-20220226,game3,2022-02-26 16:00:00,TNC,2,0,13.85,4,8,13,38883,2807,123784,8937,8,7,0,3,2,15,0.92,26,4860.38,883.7,15473.0,2813.27,54,2,7,9
https://ph-mpl.com/data/match/onic-bren-20220226,game1,2022-02-26 18:00:00,ONIC,2,1,16.35,12,26,5,54272,3319,203877,12469,13,11,2,0,9,24,7.6,11,1938.29,484.57,7281.32,1820.33,40,0,5,10
https://ph-mpl.com/data/match/onic-bren-20220226,game1,2022-02-26 18:00:00,BREN,2,0,16.35,5,11,12,45986,2812,153226,9371,4,6,0,3,2,10,1.33,14,4927.07,821.18,16417.07,2736.18,40,0,1,10
https://ph-mpl.com/data/match/onic-bren-20220226,game2,2022-02-26 18:00:00,BREN,2,0,18.27,6,14,18,49794,2725,182678,10000,8,8,1,2,4,16,1.11,44,3734.55,732.26,13700.85,2686.44,40,1,1,10
https://ph-mpl.com/data/match/onic-bren-20220226,game2,2022-02-26 18:00:00,ONIC,2,1,18.27,18,44,6,60681,3321,196515,10758,9,12,2,1,9,21,10.33,37,1685.58,322.77,5458.75,1045.29,40,1,5,10
https://ph-mpl.com/data/match/omg-rsg-20220226,game1,2022-02-26 20:00:00,RSG,2,1,20.65,17,37,6,63630,3081,247013,11961,11,15,3,2,8,26,9.0,10,1908.9,378.75,7410.39,1470.32,36,0,6,11
https://ph-mpl.com/data/match/omg-rsg-20220226,game1,2022-02-26 20:00:00,OMG,2,0,20.65,6,10,17,54610,2644,164272,7955,7,7,0,1,3,14,0.94,33,4550.83,1241.14,13689.33,3733.45,36,0,4,11
https://ph-mpl.com/data/match/omg-rsg-20220226,game2,2022-02-26 20:00:00,RSG,2,1,15.97,15,33,9,50142,3140,175044,10963,6,9,1,3,7,15,5.33,17,1709.39,338.8,5967.41,1182.73,36,1,6,11
https://ph-mpl.com/data/match/omg-rsg-20220226,game2,2022-02-26 20:00:00,OMG,2,0,15.97,9,17,15,43757,2740,171869,10764,7,9,1,0,5,16,1.73,33,2344.12,607.74,9207.27,2387.07,36,1,4,11
